#  A   Z  El   half-life  bindingEnergy
#               [s]        [keV]
  20   5   B   0.00000e+00          4453
  20   6   C   1.60000e-02        5961.4
  20   7   N   1.36000e-01        6709.2
  20   8   O   1.35000e+01        7568.6
  20   9   F   1.11000e+01        7720.1
  20  10  Ne           inf        8032.2
  20  11  Na   4.47900e-01        7298.5
  20  12  Mg   9.30000e-02          6728
  21   5   B   0.00000e+00          4203
  21   6   C   0.00000e+00          5674
  21   7   N   8.40000e-02          6609
  21   8   O   3.40000e+00        7389.4
  21   9   F   4.10000e+00        7738.3
  21  10  Ne           inf        7971.7
  21  11  Na   2.24000e+01        7765.5
  21  12  Mg   1.18600e-01          7105
  21  13  Al   0.00000e+00          6302
  22   6   C   6.20000e-03        5421.1
  22   7   N   2.30000e-02        6378.5
  22   8   O   2.20000e+00        7364.9
  22   9   F   4.20000e+00        7624.3
  22  10  Ne           inf        8080.5
  22  11  Na   8.20480e+07        7915.7
  22  12  Mg   3.80000e+00        7662.8
  22  13  Al   9.11000e-02          6782
  22  14  Si   2.90000e-02          6058
  23   6   C   0.00000e+00          5077
  23   7   N   1.39000e-02        6236.7
  23   8   O   9.70000e-02        7163.5
  23   9   F   2.20000e+00        7622.3
  23  10  Ne   3.71000e+01        7955.3
  23  11  Na           inf        8111.5
  23  12  Mg   1.13000e+01        7901.1
  23  13  Al   4.70000e-01        7335.7
  23  14  Si   4.23000e-02          6565
  24   7   N   0.00000e+00          5887
  24   8   O   7.74000e-02        7039.7
  24   9   F   3.84000e-01        7463.6
  24  10  Ne   1.98000e+02        7993.3
  24  11  Na   5.36400e+04        8063.5
  24  12  Mg           inf        8260.7
  24  13  Al   2.00000e+00        7649.6
  24  14  Si   1.40000e-01        7167.2
  24  15   P   0.00000e+00          6194
  25   7   N   0.00000e+00          5613
  25   8   O   5.10000e-21        6727.8
  25   9   F   8.00000e-02        7336.3
  25  10  Ne   6.02000e-01        7839.8
  25  11  Na   5.91000e+01        8101.4
  25  12  Mg           inf        8223.5
  25  13  Al   7.10000e+00        8021.1
  25  14  Si   2.20000e-01        7480.1
  25  15   P   0.00000e+00          6812
  26   8   O   4.20000e-12        6497.5
  26   9   F   8.20000e-03        7083.2
  26  10  Ne   1.97000e-01        7751.9
  26  11  Na   1.07120e+00        8004.2
  26  12  Mg           inf        8333.9
  26  13  Al   2.26263e+13        8149.8
  26  14  Si   2.20000e+00        7924.7
  26  15   P   4.37000e-02          7198
  26  16   S   0.00000e+00          6548
  27   8   O   0.00000e+00          6185
  27   9   F   4.90000e-03        6867.9
  27  10  Ne   3.15000e-02        7520.4
  27  11  Na   3.01000e-01        7956.9
  27  12  Mg   5.64000e+02        8263.9
  27  13  Al           inf        8331.6
  27  14  Si   4.10000e+00        8124.3
  27  15   P   2.60000e-01        7663.4
  27  16   S   1.55000e-02          6977
  28   8   O   0.00000e+00          5988
  28   9   F   4.60000e-20        6614.8
  28  10  Ne   2.00000e-02        7388.3
  28  11  Na   3.05000e-02        7799.3
  28  12  Mg   7.52400e+04        8272.4
  28  13  Al   1.32000e+02        8309.9
  28  14  Si           inf        8447.7
  28  15   P   2.70300e-01        7907.5
  28  16   S   1.25000e-01        7478.8
  28  17  Cl   0.00000e+00          6614
  29   9   F   2.50000e-03          6444
  29  10  Ne   1.47000e-02        7167.1
  29  11  Na   4.41000e-02        7682.2
  29  12  Mg   1.30000e+00        8113.2
  29  13  Al   3.90000e+02        8348.5
  29  14  Si           inf        8448.6
  29  15   P   4.10000e+00        8251.2
  29  16   S   1.88000e-01        7748.5
  29  17  Cl   0.00000e+00        7158.8
  30   9   F   0.00000e+00          6233
  30  10  Ne   7.20000e-03        7034.5
  30  11  Na   4.84000e-02          7502
  30  12  Mg   3.13000e-01        8054.5
  30  13  Al   3.60000e+00        8261.1
  30  14  Si           inf        8520.7
  30  15   P   1.44000e+02        8353.5
  30  16   S   1.10000e+00        8122.7
  30  17  Cl   0.00000e+00          7480
  30  18  Ar   0.00000e+00        6904.2
  31   9   F   1.00000e-03          6033
  31  10  Ne   3.40000e-03        6813.1
  31  11  Na   1.73000e-02        7398.7
  31  12  Mg   2.36000e-01        7869.2
  31  13  Al   6.44000e-01        8225.5
  31  14  Si   9.43800e+03        8458.3
  31  15   P           inf        8481.2
  31  16   S   2.50000e+00        8281.8
  31  17  Cl   1.90000e-01        7869.2
  31  18  Ar   1.51000e-02          7252
  32  10  Ne   3.50000e-03          6671
  32  11  Na   1.29000e-02        7219.9
  32  12  Mg   8.60000e-02        7803.8
  32  13  Al   3.30000e-02        8100.3
  32  14  Si   4.82821e+09        8481.5
  32  15   P   1.22688e+06        8464.1
  32  16   S           inf        8493.1
  32  17  Cl   2.98000e-01        8072.4
  32  18  Ar   9.80000e-02          7700
  32  19   K   0.00000e+00          6947
  33  10  Ne   0.00000e+00          6440
  33  11  Na   8.20000e-03        7089.9
  33  12  Mg   9.05000e-02        7636.5
  33  13  Al   4.17000e-02        8020.6
  33  14  Si   6.10000e+00        8361.1
  33  15   P   2.18592e+06        8513.8
  33  16   S           inf        8497.6
  33  17  Cl   2.50000e+00        8304.8
  33  18  Ar   1.73000e-01          7929
  33  19   K   0.00000e+00          7407
  34  10  Ne   1.00000e-03          6287
  34  11  Na   5.50000e-03        6886.4
  34  12  Mg   2.00000e-02        7550.4
  34  13  Al   5.63000e-02        7860.4
  34  14  Si   2.70000e+00        8336.1
  34  15   P   1.24000e+01        8448.2
  34  16   S           inf        8583.5
  34  17  Cl   1.50000e+00          8399
  34  18  Ar   8.43800e-01        8197.7
  34  19   K   0.00000e+00          7670
  34  20  Ca   0.00000e+00          7204
  35  11  Na   1.50000e-03          6733
  35  12  Mg   7.00000e-02        7356.2
  35  13  Al   3.72000e-02        7787.1
  35  14  Si   7.80000e-01        8169.6
  35  15   P   4.73000e+01        8446.2
  35  16   S   7.54272e+06        8537.9
  35  17  Cl           inf        8520.3
  35  18  Ar   1.70000e+00        8327.5
  35  19   K   1.78000e-01        7965.8
  35  20  Ca   2.57000e-02          7487
  36  11  Na   0.00000e+00          6546
  36  12  Mg   3.90000e-03        7244.4
  36  13  Al   9.00000e-02        7623.5
  36  14  Si   4.50000e-01        8112.5
  36  15   P   5.60000e+00        8307.9
  36  16   S           inf        8575.4
  36  17  Cl   9.50810e+12        8521.9
  36  18  Ar           inf        8519.9
  36  19   K   3.41000e-01        8142.2
  36  20  Ca   1.01200e-01        7815.9
  36  21  Sc   0.00000e+00          7189
  37  11  Na   1.00000e-03          6392
  37  12  Mg   8.00000e-03        7055.1
  37  13  Al   1.15000e-02        7531.3
  37  14  Si   9.00000e-02        7952.9
  37  15   P   2.30000e+00        8267.6
  37  16   S   3.00000e+02        8459.9
  37  17  Cl           inf        8570.3
  37  18  Ar   3.02400e+06        8527.1
  37  19   K   1.20000e+00        8339.8
  37  20  Ca   1.81100e-01        8003.5
  37  21  Sc   0.00000e+00          7532
  38  12  Mg   1.00000e-03          6928
  38  13  Al   9.00000e-03        7377.1
  38  14  Si   9.00000e-02        7892.8
  38  15   P   6.40000e-01        8147.3
  38  16   S   1.02180e+04        8448.8
  38  17  Cl   2.23200e+03        8505.5
  38  18  Ar           inf        8614.3
  38  19   K   4.56000e+02        8438.1
  38  20  Ca   4.43700e-01          8240
  38  21  Sc   0.00000e+00          7751
  38  22  Ti   0.00000e+00          7332
  39  12  Mg   0.00000e+00          6747
  39  13  Al   7.60000e-03          7281
  39  14  Si   4.75000e-02          7731
  39  15   P   2.82000e-01          8098
  39  16   S   1.15000e+01        8344.3
  39  17  Cl   3.37200e+03        8494.4
  39  18  Ar   8.48881e+09        8562.6
  39  19   K           inf          8557
  39  20  Ca   8.60300e-01        8369.7
  39  21  Sc   0.00000e+00        8013.5
  39  22  Ti   2.85000e-02          7574
  40  12  Mg   1.00000e-03          6628
  40  13  Al   1.00000e-02          7127
  40  14  Si   3.30000e-02        7661.8
  40  15   P   1.50000e-01        7980.8
  40  16   S   8.80000e+00        8329.3
  40  17  Cl   7.80000e+01        8427.8
  40  18  Ar           inf        8595.3
  40  19   K   3.78683e+16        8538.1
  40  20  Ca           inf        8551.3
  40  21  Sc   1.82300e-01        8173.7
  40  22  Ti   5.24000e-02        7862.3
  40  23   V   0.00000e+00          7317
  41  13  Al   2.00000e-03          7008
  41  14  Si   2.00000e-02        7508.6
  41  15   P   1.01000e-01        7906.6
  41  16   S   1.90000e+00        8229.6
  41  17  Cl   3.84000e+01          8413
  41  18  Ar   6.57600e+03        8534.4
  41  19   K           inf        8576.1
  41  20  Ca   3.13676e+12        8546.7
  41  21  Sc   5.96300e-01        8369.2
  41  22  Ti   8.19000e-02        8034.4
  41  23   V   0.00000e+00          7625
  42  13  Al   1.00000e-03          6874
  42  14  Si   1.25000e-02          7418
  42  15   P   4.85000e-02        7767.9
  42  16   S   1.00000e+00        8193.2
  42  17  Cl   6.80000e+00        8345.9
  42  18  Ar   1.03822e+09        8555.6
  42  19   K   4.42800e+04        8551.3
  42  20  Ca           inf        8616.6
  42  21  Sc   6.80700e-01        8444.9
  42  22  Ti   2.08600e-01        8259.2
  42  23   V   0.00000e+00          7824
  42  24  Cr   1.33000e-02          7464
  43  13  Al   1.00000e-03          6741
  43  14  Si   1.50000e-02          7279
  43  15   P   3.58000e-02        7689.6
  43  16   S   2.65000e-01        8063.8
  43  17  Cl   3.10000e+00        8323.9
  43  18  Ar   3.18000e+02        8488.2
  43  19   K   8.02800e+04        8576.2
  43  20  Ca           inf        8600.7
  43  21  Sc   1.36800e+04        8530.8
  43  22  Ti   5.09000e-01        8352.9
  43  23   V   7.93000e-02        8069.5
  43  24  Cr   2.11000e-02          7680
  44  14  Si   1.00000e-02          7174
  44  15   P   1.85000e-02          7567
  44  16   S   1.00000e-01          7996
  44  17  Cl   5.60000e-01        8232.3
  44  18  Ar   7.08000e+02        8493.8
  44  19   K   1.32600e+03        8546.7
  44  20  Ca           inf        8658.2
  44  21  Sc   1.44000e+04        8557.4
  44  22  Ti   1.86501e+09        8533.5
  44  23   V   0.00000e+00        8210.5
  44  24  Cr   4.28000e-02          7948
  44  25  Mn   0.00000e+00          7467
  45  14  Si   1.00000e-03          6995
  45  15   P   8.00000e-03          7464
  45  16   S   6.80000e-02        7881.8
  45  17  Cl   4.13000e-01        8181.6
  45  18  Ar   2.14000e+01          8420
  45  19   K   1.06800e+03        8554.7
  45  20  Ca   1.40486e+07        8630.5
  45  21  Sc           inf        8618.9
  45  22  Ti   1.10880e+04        8555.7
  45  23   V   5.47000e-01          8380
  45  24  Cr   0.00000e+00        8087.7
  45  25  Mn   0.00000e+00          7753
  45  26  Fe   2.20000e-03          7313
  46  15   P   4.00000e-03          7317
  46  16   S   5.00000e-02          7792
  46  17  Cl   2.32000e-01        8083.5
  46  18  Ar   8.40000e+00        8412.4
  46  19   K   1.05000e+02          8518
  46  20  Ca           inf          8669
  46  21  Sc   7.24032e+06          8622
  46  22  Ti           inf        8656.5
  46  23   V   4.22600e-01        8486.1
  46  24  Cr   2.24300e-01        8303.8
  46  25  Mn   0.00000e+00          7919
  46  26  Fe   1.30000e-02          7609
  47  15   P   2.00000e-03          7190
  47  16   S   2.00000e-02          7648
  47  17  Cl   1.01000e-01          7996
  47  18  Ar   1.20000e+00        8311.4
  47  19   K   1.75000e+01        8514.9
  47  20  Ca   3.88800e+05        8639.3
  47  21  Sc   2.85120e+05        8665.1
  47  22  Ti           inf        8661.2
  47  23   V   1.95600e+03        8582.2
  47  24  Cr   5.00000e-01        8407.2
  47  25  Mn   8.80000e-02        8135.3
  47  26  Fe   2.19000e-02          7785
  47  27  Co   0.00000e+00          7401
  48  16   S   1.00000e-02          7545
  48  17  Cl   1.00000e-01          7883
  48  18  Ar   4.15000e-01        8242.1
  48  19   K   6.80000e+00        8434.2
  48  20  Ca   1.42006e+27        8666.7
  48  21  Sc   1.56960e+05        8656.2
  48  22  Ti           inf          8723
  48  23   V   1.37376e+06        8623.1
  48  24  Cr   7.74000e+04        8572.3
  48  25  Mn   1.58100e-01        8274.2
  48  26  Fe   4.53000e-02          8023
  48  27  Co   0.00000e+00          7600
  48  28  Ni   2.80000e-03          7265
  49  16   S   0.00000e+00          7385
  49  17  Cl   5.00000e-02          7781
  49  18  Ar   2.36000e-01          8135
  49  19   K   1.20000e+00        8372.3
  49  20  Ca   5.22000e+02        8594.8
  49  21  Sc   3.42600e+03        8686.3
  49  22  Ti           inf        8711.2
  49  23   V   2.85120e+07        8682.9
  49  24  Cr   2.53800e+03        8613.3
  49  25  Mn   3.82000e-01        8439.9
  49  26  Fe   6.47000e-02        8161.3
  49  27  Co   0.00000e+00          7842
  49  28  Ni   7.50000e-03          7457
  50  17  Cl   2.00000e-02          7651
  50  18  Ar   1.06000e-01          8056
  50  19   K   4.72000e-01        8288.6
  50  20  Ca   1.39000e+01        8550.2
  50  21  Sc   1.02500e+02        8633.7
  50  22  Ti           inf        8755.7
  50  23   V   4.73354e+24        8695.9
  50  24  Cr           inf          8701
  50  25  Mn   2.83100e-01        8532.7
  50  26  Fe   1.52100e-01          8354
  50  27  Co   3.88000e-02          8001
  50  28  Ni   1.85000e-02          7716
  51  17  Cl   2.00000e-03          7530
  51  18  Ar   6.00000e-02          7926
  51  19   K   3.65000e-01        8221.3
  51  20  Ca   1.00000e+01        8476.9
  51  21  Sc   1.24000e+01        8596.8
  51  22  Ti   3.42000e+02          8709
  51  23   V           inf        8742.1
  51  24  Cr   2.39328e+06          8712
  51  25  Mn   2.77200e+03        8633.8
  51  26  Fe   3.05400e-01        8460.8
  51  27  Co   6.88000e-02        8193.3
  51  28  Ni   2.38000e-02          7875
  52  18  Ar   1.00000e-02          7825
  52  19   K   1.10000e-01          8115
  52  20  Ca   4.60000e+00        8429.4
  52  21  Sc   8.20000e+00        8533.1
  52  22  Ti   1.02000e+02        8691.7
  52  23   V   2.22000e+02        8714.6
  52  24  Cr           inf          8776
  52  25  Mn   4.75200e+05        8670.3
  52  26  Fe   2.95200e+04        8609.6
  52  27  Co   1.11100e-01        8325.9
  52  28  Ni   4.18000e-02          8079
  52  29  Cu   0.00000e+00          7679
  53  18  Ar   3.00000e-03          7677
  53  19   K   3.00000e-02        8022.8
  53  20  Ca   4.61000e-01        8330.6
  53  21  Sc   2.40000e+00        8495.4
  53  22  Ti   3.27000e+01        8630.2
  53  23   V   9.00000e+01        8710.1
  53  24  Cr           inf        8760.2
  53  25  Mn   1.16761e+14        8734.2
  53  26  Fe   5.10000e+02        8648.8
  53  27  Co   2.42000e-01        8477.7
  53  28  Ni   5.52000e-02        8217.1
  53  29  Cu   0.00000e+00          7894
  54  19   K   1.00000e-02          7889
  54  20  Ca   9.00000e-02        8247.5
  54  21  Sc   5.26000e-01        8394.7
  54  22  Ti   2.10000e+00        8597.4
  54  23   V   4.98000e+01          8662
  54  24  Cr           inf          8778
  54  25  Mn   2.69741e+07          8738
  54  26  Fe           inf        8736.4
  54  27  Co   1.93200e-01        8569.2
  54  28  Ni   1.14200e-01          8393
  54  29  Cu   0.00000e+00          8048
  54  30  Zn   1.80000e-03          7753
  55  19   K   3.00000e-03          7788
  55  20  Ca   2.20000e-02          8120
  55  21  Sc   9.60000e-02          8321
  55  22  Ti   1.30000e+00          8516
  55  23   V   6.50000e+00        8637.7
  55  24  Cr   2.04000e+02        8731.9
  55  25  Mn           inf          8765
  55  26  Fe   8.52037e+07        8746.6
  55  27  Co   6.30000e+04        8669.6
  55  28  Ni   2.04700e-01        8497.3
  55  29  Cu   5.70000e-02          8234
  55  30  Zn   1.98000e-02          7909
  56  19   K   1.00000e-03          7664
  56  20  Ca   1.10000e-02          8040
  56  21  Sc   0.00000e+00        8221.7
  56  22  Ti   2.00000e-01        8466.1
  56  23   V   2.16000e-01        8574.2
  56  24  Cr   3.54000e+02        8723.3
  56  25  Mn   9.00000e+03        8738.3
  56  26  Fe           inf        8790.4
  56  27  Co   6.67008e+06        8694.8
  56  28  Ni   5.18400e+05        8642.8
  56  29  Cu   9.30000e-02        8356.2
  56  30  Zn   3.29000e-02          8106
  56  31  Ga   0.00000e+00          7699
  57  20  Ca   5.00000e-03          7917
  57  21  Sc   2.20000e-02        8151.4
  57  22  Ti   9.50000e-02        8364.4
  57  23   V   3.50000e-01        8534.8
  57  24  Cr   2.11000e+01        8663.4
  57  25  Mn   8.54000e+01        8736.7
  57  26  Fe           inf        8770.3
  57  27  Co   2.34749e+07        8741.9
  57  28  Ni   1.28160e+05        8670.9
  57  29  Cu   1.96300e-01        8503.3
  57  30  Zn   3.80000e-02          8231
  57  31  Ga   0.00000e+00          7909
  58  20  Ca   3.00000e-03          7835
  58  21  Sc   1.20000e-02          8045
  58  22  Ti   5.50000e-02          8311
  58  23   V   1.91000e-01        8457.7
  58  24  Cr   7.00000e+00          8644
  58  25  Mn   3.00000e+00        8696.6
  58  26  Fe           inf        8792.2
  58  27  Co   6.11712e+06          8739
  58  28  Ni           inf        8732.1
  58  29  Cu   3.20000e+00          8571
  58  30  Zn   8.67000e-02        8395.9
  58  31  Ga   0.00000e+00          8059
  58  32  Ge   0.00000e+00          7762
  59  21  Sc   1.00000e-02          7967
  59  22  Ti   2.85000e-02          8212
  59  23   V   9.50000e-02        8407.6
  59  24  Cr   1.05000e+00        8568.1
  59  25  Mn   4.50000e+00        8680.9
  59  26  Fe   3.83616e+06        8754.8
  59  27  Co           inf          8768
  59  28  Ni   2.55611e+12        8736.6
  59  29  Cu   8.15000e+01          8642
  59  30  Zn   1.82000e-01        8473.8
  59  31  Ga   0.00000e+00          8232
  59  32  Ge   8.00000e-03          7916
  60  21  Sc   3.00000e-03          7865
  60  22  Ti   2.22000e-02          8157
  60  23   V   0.00000e+00        8325.5
  60  24  Cr   4.90000e-01        8536.2
  60  25  Mn   2.80000e-01        8628.1
  60  26  Fe   8.20480e+13        8755.9
  60  27  Co   1.64096e+08        8746.8
  60  28  Ni           inf        8780.8
  60  29  Cu   1.42200e+03        8665.6
  60  30  Zn   1.38000e+02          8583
  60  31  Ga   7.00000e-02          8327
  60  32  Ge   3.00000e-02          8106
  60  33  As   0.00000e+00          7732
  61  21  Sc   2.00000e-03          7787
  61  22  Ti   1.50000e-02          8057
  61  23   V   4.82000e-02        8276.4
  61  24  Cr   2.43000e-01        8459.8
  61  25  Mn   7.09000e-01        8598.9
  61  26  Fe   3.54000e+02        8703.8
  61  27  Co   5.76000e+03        8756.1
  61  28  Ni           inf          8765
  61  29  Cu   1.18800e+04        8715.5
  61  30  Zn   8.91000e+01        8610.3
  61  31  Ga   1.67000e-01        8446.4
  61  32  Ge   4.40000e-02          8208
  61  33  As   0.00000e+00          7925
  62  22  Ti   1.00000e-02          7995
  62  23   V   3.36000e-02          8192
  62  24  Cr   2.06000e-01        8428.1
  62  25  Mn   0.00000e+00        8538.5
  62  26  Fe   6.80000e+01        8692.9
  62  27  Co   9.00000e+01        8721.3
  62  28  Ni           inf        8794.6
  62  29  Cu   5.76000e+02        8718.1
  62  30  Zn   3.27600e+04        8679.3
  62  31  Ga   1.16100e-01        8518.6
  62  32  Ge   1.29000e-01          8341
  62  33  As   0.00000e+00          8047
  63  22  Ti   3.00000e-03          7889
  63  23   V   1.96000e-02          8133
  63  24  Cr   1.29000e-01        8344.8
  63  25  Mn   2.75000e-01        8505.1
  63  26  Fe   6.10000e+00        8631.5
  63  27  Co   2.69000e+01        8717.8
  63  28  Ni   3.19356e+09        8763.5
  63  29  Cu           inf        8752.1
  63  30  Zn   2.30400e+03        8686.3
  63  31  Ga   3.24000e+01        8583.9
  63  32  Ge   1.42000e-01        8418.7
  63  33  As   0.00000e+00          8193
  64  22  Ti   4.00000e-03          7818
  64  23   V   1.50000e-02          8045
  64  24  Cr   4.30000e-02        8301.1
  64  25  Mn   8.88000e-02        8437.4
  64  26  Fe   2.00000e+00        8612.4
  64  27  Co   3.00000e-01        8675.5
  64  28  Ni           inf        8777.5
  64  29  Cu   4.57200e+04        8739.1
  64  30  Zn           inf        8735.9
  64  31  Ga   1.56000e+02        8611.6
  64  32  Ge   6.37000e+01        8528.8
  64  33  As   4.00000e-02          8286
  64  34  Se   3.00000e-02          8073
  65  23   V   1.00000e-02          7976
  65  24  Cr   2.75000e-02          8217
  65  25  Mn   9.19000e-02        8400.7
  65  26  Fe   8.10000e-01        8546.3
  65  27  Co   1.10000e+00        8656.9
  65  28  Ni   9.00000e+03        8736.2
  65  29  Cu           inf        8757.1
  65  30  Zn   2.10730e+07        8724.3
  65  31  Ga   9.12000e+02        8662.2
  65  32  Ge   3.09000e+01        8555.1
  65  33  As   1.70000e-01        8396.2
  65  34  Se   3.30000e-02          8170
  66  23   V   5.00000e-03          7884
  66  24  Cr   2.38000e-02          8161
  66  25  Mn   6.42000e-02        8331.8
  66  26  Fe   3.51000e-01        8521.7
  66  27  Co   1.94000e-01        8605.9
  66  28  Ni   1.96560e+05        8739.5
  66  29  Cu   3.06000e+02        8731.5
  66  30  Zn           inf        8759.6
  66  31  Ga   3.34800e+04        8669.4
  66  32  Ge   7.92000e+03        8625.4
  66  33  As   9.57000e-02        8468.4
  66  34  Se   3.30000e-02          8300
  67  23   V   2.00000e-03          7812
  67  24  Cr   1.00000e-02          8070
  67  25  Mn   4.67000e-02          8279
  67  26  Fe   3.94000e-01        8448.5
  67  27  Co   3.29000e-01        8581.7
  67  28  Ni   2.10000e+01        8695.8
  67  29  Cu   2.22480e+05        8737.5
  67  30  Zn           inf        8734.2
  67  31  Ga   2.76480e+05        8707.5
  67  32  Ge   1.13400e+03        8632.9
  67  33  As   4.25000e+01        8530.6
  67  34  Se   1.33000e-01        8369.5
  67  35  Br   0.00000e+00          8152
  68  24  Cr   5.00000e-03          8013
  68  25  Mn   3.37000e-02          8201
  68  26  Fe   1.88000e-01        8411.7
  68  27  Co   0.00000e+00        8524.4
  68  28  Ni   2.90000e+01        8682.5
  68  29  Cu   3.09000e+01        8701.9
  68  30  Zn           inf        8755.7
  68  31  Ga   4.06800e+03        8701.2
  68  32  Ge   2.34058e+07        8688.1
  68  33  As   1.51600e+02        8557.7
  68  34  Se   3.55000e+01          8477
  68  35  Br   0.00000e+00          8239
  69  24  Cr   2.00000e-03          7924
  69  25  Mn   2.21000e-02          8147
  69  26  Fe   1.08200e-01          8342
  69  27  Co   1.80000e-01        8493.9
  69  28  Ni   1.14000e+01        8623.1
  69  29  Cu   1.68000e+02        8695.2
  69  30  Zn   3.38400e+03        8722.7
  69  31  Ga           inf        8724.6
  69  32  Ge   1.40400e+05          8681
  69  33  As   9.12000e+02        8611.8
  69  34  Se   2.74000e+01        8503.7
  69  35  Br   0.00000e+00        8344.9
  69  36  Kr   2.80000e-02          8133
  70  24  Cr   1.00000e-03          7867
  70  25  Mn   1.99000e-02          8070
  70  26  Fe   6.30000e-02          8302
  70  27  Co   0.00000e+00          8436
  70  28  Ni   6.00000e+00        8604.3
  70  29  Cu   4.45000e+01        8646.9
  70  30  Zn           inf        8729.8
  70  31  Ga   1.26600e+03        8709.3
  70  32  Ge           inf        8721.7
  70  33  As   3.15600e+03        8621.7
  70  34  Se   2.46600e+03          8576
  70  35  Br   7.91000e-02        8414.8
  70  36  Kr   5.20000e-02          8256
  71  25  Mn   5.00000e-03          8015
  71  26  Fe   3.37000e-02          8227
  71  27  Co   8.00000e-02        8398.7
  71  28  Ni   2.50000e+00        8543.2
  71  29  Cu   1.94000e+01          8635
  71  30  Zn   1.44000e+02          8689
  71  31  Ga           inf        8717.6
  71  32  Ge   9.84960e+05        8703.3
  71  33  As   2.35080e+05        8663.9
  71  34  Se   2.82000e+02        8586.1
  71  35  Br   2.14000e+01        8481.5
  71  36  Kr   1.00000e-01        8327.1
  71  37  Rb   0.00000e+00          8115
  72  25  Mn   2.00000e-03          7937
  72  26  Fe   1.90000e-02          8184
  72  27  Co   5.25000e-02          8336
  72  28  Ni   1.50000e+00        8520.2
  72  29  Cu   6.60000e+00        8586.5
  72  30  Zn   1.67400e+05        8691.8
  72  31  Ga   5.04000e+04        8687.1
